INFO  - 2016-08-18 16:15:51.193; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-08-18 16:15:51.195; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/dist/solr-velocity-4.10.2.jar' to classloader
INFO  - 2016-08-18 16:15:51.407; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-08-18 16:15:51.416; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.2
INFO  - 2016-08-18 16:15:51.593; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-08-18 16:15:51.608; org.apache.solr.schema.IndexSchema; Reading Solr Schema from E:\0808\solr-4.10.2\example\solr\collection1\conf\schema.xml
INFO  - 2016-08-18 16:15:51.690; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-08-18 16:15:52.579; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-08-18 16:15:52.597; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2016-08-18 16:15:52.601; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2016-08-18 16:15:52.673; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-08-18 16:15:52.685; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-08-18 16:15:52.798; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir E:\0808\solr-4.10.2\example\solr\collection1\
INFO  - 2016-08-18 16:15:52.822; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-08-18 16:15:52.835; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at E:\0808\solr-4.10.2\example\solr\collection1\, dataDir=E:\0808\solr-4.10.2\example\solr\collection1\data\
INFO  - 2016-08-18 16:15:52.838; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-08-18 16:15:52.847; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-08-18 16:15:52.847; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-08-18 16:15:52.866; org.apache.solr.core.CachingDirectoryFactory; return new directory for E:\0808\solr-4.10.2\example\solr\collection1\data
INFO  - 2016-08-18 16:15:52.878; org.apache.solr.core.SolrCore; New index directory detected: old=null new=E:\0808\solr-4.10.2\example\solr\collection1\data\index/
